Split 1,Split 2,Cohort Date,First Deposit C,First Deposit S,Deposit APPC,First Deposit 2 Deposit Conversion,24h First Deposit 2 Deposit Conversion,7D First Deposit 2 Deposit Conversion,1D Deposit S,1D Deposit C,3D Deposit S,7D Deposit S,7D Deposit C,14D Deposit S,14D Deposit C,30D Deposit C,28D Deposit S,Marketing Spend,1D CNGR,3D CNGR,7D CNGR,14D CNGR,28D CNGR,Mono Instant Depositor Share,Registration C,Split 3
EKB_inapp_C,Italy,2025-12-12,2,40,16.5,50.0,50.0,50.0,540,25,665,705,33,705,33,33,705,260.0,510,630,668,669,669,50.0,14,7103
EKB_inapp_C,Italy,2025-12-13,2,40,1.0,0.0,0.0,0.0,40,2,40,40,2,40,2,2,40,260.0,34,34,34,34,34,100.0,13,7103
EKB_inapp_C,Italy,2025-12-14,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,12,16,17,17,17,100.0,22,7103
EKB_inapp_C,Italy,2025-12-16,2,40,2.5,50.0,50.0,50.0,60,3,60,100,5,100,5,5,100,260.0,50,50,-41,-39,-39,50.0,16,7103
EKB_inapp_C,Italy,2025-12-17,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,16,16,18,18,18,100.0,20,7103
EKB_inapp_C,Italy,2025-12-19,1,20,2.0,100.0,100.0,100.0,40,2,40,40,2,40,2,2,40,145.0,34,33,32,32,32,0.0,5,7103
EKB_inapp_C,Italy,2025-12-20,2,40,1.0,0.0,0.0,0.0,40,2,40,40,2,40,2,2,40,290.0,-45,-68,-199,-199,-199,50.0,17,7103
EKB_inapp_C,Italy,2025-12-23,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,145.0,17,16,16,16,16,100.0,1,7103
EKB_inapp_C,Italy,2025-12-24,1,20,3.0,100.0,100.0,100.0,55,3,55,55,3,55,3,3,55,130.0,40,49,49,49,49,100.0,3,7101
EKB_inapp_C,Italy,2025-12-27,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,145.0,18,18,18,18,18,100.0,10,7103
EKB_inapp_C,Norway,2025-12-11,2,63,1.5,50.0,50.0,50.0,105,3,105,105,3,105,3,3,105,300.0,69,69,89,89,89,0.0,7,7101
EKB_inapp_C,Norway,2025-12-12,4,82,1.75,50.0,0.0,50.0,82,4,206,206,7,206,7,7,206,600.0,-412,-229,-137,4,4,75.0,12,7101
EKB_inapp_C,Norway,2025-12-13,3,126,2.67,66.67,66.67,66.67,441,8,441,441,8,441,8,8,441,450.0,384,379,379,379,379,33.33,21,7101
EKB_inapp_C,Norway,2025-12-14,1,50,87.0,100.0,100.0,100.0,1159,44,1159,1260,49,2031,87,87,2031,150.0,996,996,1085,1763,1763,0.0,5,7101
EKB_inapp_C,Norway,2025-12-17,1,25,5.0,100.0,100.0,100.0,46,2,122,122,5,122,5,5,122,150.0,35,97,97,97,97,0.0,3,7101
EKB_inapp_C,Norway,2025-12-21,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,150.0,16,16,16,16,16,0.0,1,7101
EKB_inapp_C,Norway,2025-12-28,1,25,1.0,0.0,0.0,0.0,25,1,25,25,1,25,1,1,25,150.0,22,22,22,22,22,0.0,1,7101
EKB_inapp_C,Romania,2025-12-23,1,29,1.0,0.0,0.0,0.0,29,1,29,29,1,29,1,1,29,75.0,20,19,19,19,19,0.0,22,7103
EKB_inapp_C,Romania,2025-12-24,3,51,1.0,0.0,0.0,0.0,51,3,51,51,3,51,3,3,51,225.0,44,44,44,44,44,66.67,29,7103
EKB_inapp_C,Romania,2025-12-27,2,35,1.5,50.0,50.0,50.0,47,3,47,47,3,47,3,3,47,150.0,38,38,38,38,38,100.0,62,7103
EKB_inapp_C,Serbia,2025-12-25,1,15,1.0,0.0,0.0,0.0,15,1,15,15,1,15,1,1,15,60.0,12,12,12,12,12,0.0,23,7101
EKB_inapp_C,Serbia,2025-12-26,1,14,1.0,0.0,0.0,0.0,14,1,14,14,1,14,1,1,14,60.0,11,11,11,11,11,0.0,13,7101
EmberHoldings_C,Austria,2025-09-17,1,20,10.0,100.0,100.0,100.0,120,6,160,160,8,200,10,10,200,142.0,12,48,48,86,131,100.0,1,54809
EmberHoldings_C,Belgium,2025-09-28,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,142.0,1,1,1,1,1,0.0,1,54809
EmberHoldings_C,Belgium,2025-10-08,1,20,6.0,100.0,100.0,100.0,40,2,100,120,6,120,6,6,120,137.0,34,88,105,104,105,100.0,1,54809
EmberHoldings_C,Canada,2025-09-03,1,31,1.0,0.0,0.0,0.0,31,1,31,31,1,31,1,1,31,112.0,28,28,28,28,28,100.0,1,54809
EmberHoldings_C,Canada,2025-09-05,2,37,3.5,50.0,50.0,50.0,68,3,197,197,7,197,7,7,197,223.0,-3,116,117,117,117,100.0,3,54809
EmberHoldings_C,Canada,2025-09-06,1,31,1.0,0.0,0.0,0.0,31,1,31,31,1,31,1,1,31,112.0,28,28,28,28,28,100.0,3,54809
EmberHoldings_C,Canada,2025-09-11,2,37,1.5,50.0,0.0,50.0,55,3,55,55,3,55,3,3,55,223.0,11,11,11,11,11,50.0,3,54809
EmberHoldings_C,Canada,2025-09-14,1,18,1.0,0.0,0.0,0.0,18,1,18,18,1,18,1,1,18,112.0,-39,-39,0,0,0,100.0,1,54809
EmberHoldings_C,Canada,2025-09-15,2,37,5.5,100.0,50.0,100.0,92,5,92,117,6,142,7,7,142,223.0,84,84,107,129,129,100.0,3,54809
EmberHoldings_C,Canada,2025-09-16,1,21,4.0,100.0,100.0,100.0,43,2,65,65,3,65,3,4,92,112.0,31,48,48,48,74,0.0,2,54809
EmberHoldings_C,Canada,2025-09-17,1,61,3.0,100.0,0.0,100.0,61,1,123,123,2,184,3,3,184,112.0,52,44,108,164,164,100.0,1,54809
EmberHoldings_C,Canada,2025-09-29,4,98,9.0,100.0,100.0,100.0,172,7,294,441,16,465,17,17,465,446.0,121,170,347,385,374,50.0,8,54809
EmberHoldings_C,Canada,2025-09-30,3,92,1.33,33.33,33.33,33.33,122,4,122,122,4,122,4,4,122,335.0,63,69,49,49,97,66.67,14,54809
EmberHoldings_C,Canada,2025-10-01,3,86,1.0,0.0,0.0,0.0,86,3,86,86,3,86,3,3,86,320.0,74,74,74,74,74,33.33,6,54809
EmberHoldings_C,Canada,2025-10-03,7,226,1.71,42.86,42.86,42.86,330,11,330,330,11,354,12,12,354,747.0,200,199,203,223,223,71.43,17,54809
EmberHoldings_C,Canada,2025-10-05,4,103,2.0,0.0,0.0,0.0,103,4,103,103,4,103,4,4,103,427.0,82,81,80,80,80,66.67,10,54809
EmberHoldings_C,Canada,2025-10-06,2,62,3.0,100.0,100.0,100.0,92,3,92,92,3,92,3,3,92,214.0,5,5,-10,1,7,0.0,4,54809
